,,Blazers Gaming,DatBoyShotz,Tip Off,6 ,131 ,17 ,10 ,1.7 ,8 ,3 ,51 ,18 ,33 ,98 ,62 ,63% ,63% ,95 ,62 ,65% ,3 ,– ,– ,7 ,7 ,100% ,9 ,11 ,,21.8 ,2.8 ,1.7 ,1.7 ,1.3 ,0.5 ,8.5 ,3.0 ,5.5 ,16.3 ,10.3 ,63% ,63% ,15.8 ,10.3 ,65% ,0.5 ,– ,– ,1.2 ,1.2 ,100% ,1.5 ,1.8 
,,Blazers Gaming,DatBoyShotz,Regular Season,14 ,245 ,46 ,26 ,1.8 ,23 ,15 ,94 ,34 ,60 ,175 ,99 ,57% ,60% ,151 ,87 ,58% ,24 ,12 ,50% ,37 ,35 ,95% ,33 ,29 ,,17.5 ,3.3 ,1.9 ,1.8 ,1.6 ,1.1 ,6.7 ,2.4 ,4.3 ,12.5 ,7.1 ,57% ,60% ,10.8 ,6.2 ,58% ,1.7 ,0.9 ,50% ,2.6 ,2.5 ,95% ,2.4 ,2.1 
,,Blazers Gaming,DatBoyShotz,Playoffs,1 ,18 ,1 ,1 ,1.0 ,2 ,– ,2 ,– ,2 ,14 ,8 ,57% ,64% ,10 ,6 ,60% ,4 ,2 ,50% ,1 ,– ,– ,4 ,1 ,,18.0 ,1.0 ,1.0 ,1.0 ,2.0 ,– ,2.0 ,– ,2.0 ,14.0 ,8.0 ,57% ,64% ,10.0 ,6.0 ,60% ,4.0 ,2.0 ,50% ,1.0 ,– ,– ,4.0 ,1.0 
,,Blazers Gaming,DatBoyShotz,Mid-Season Tournament 2,1 ,6 ,1 ,2 ,0.5 ,1 ,1 ,2 ,– ,2 ,7 ,3 ,43% ,43% ,6 ,3 ,50% ,1 ,– ,– ,– ,– ,-,– ,– ,,6.0 ,1.0 ,2.0 ,0.5 ,1.0 ,1.0 ,2.0 ,– ,2.0 ,7.0 ,3.0 ,43% ,43% ,6.0 ,3.0 ,50% ,1.0 ,– ,– ,– ,– ,-,– ,– 
,,Blazers Gaming,DatBoyShotz,Mid-Season Tournament 1,4 ,97 ,12 ,6 ,2.0 ,6 ,6 ,30 ,13 ,17 ,57 ,40 ,70% ,70% ,57 ,40 ,70% ,– ,– ,-,17 ,17 ,100% ,10 ,9 ,,24.3 ,3.0 ,1.5 ,2.0 ,1.5 ,1.5 ,7.5 ,3.3 ,4.3 ,14.3 ,10.0 ,70% ,70% ,14.3 ,10.0 ,70% ,– ,– ,-,4.3 ,4.3 ,100% ,2.5 ,2.3 
,,Blazers Gaming,GrantMonster,Tip Off,6 ,29 ,1 ,1 ,1.0 ,4 ,1 ,3 ,– ,3 ,14 ,10 ,71% ,104% ,1 ,1 ,100% ,13 ,9 ,69% ,– ,– ,-,1 ,1 ,,4.8 ,0.2 ,0.2 ,1.0 ,0.7 ,0.2 ,0.5 ,– ,0.5 ,2.3 ,1.7 ,71% ,104% ,0.2 ,0.2 ,100% ,2.2 ,1.5 ,69% ,– ,– ,-,0.2 ,0.2 
,,Blazers Gaming,GrantMonster,Regular Season,13 ,107 ,14 ,6 ,2.3 ,6 ,1 ,7 ,1 ,6 ,61 ,37 ,61% ,84% ,19 ,9 ,47% ,42 ,28 ,67% ,5 ,5 ,100% ,4 ,9 ,,8.2 ,1.1 ,0.5 ,2.3 ,0.5 ,0.1 ,0.5 ,0.1 ,0.5 ,4.7 ,2.8 ,61% ,84% ,1.5 ,0.7 ,47% ,3.2 ,2.2 ,67% ,0.4 ,0.4 ,100% ,0.3 ,0.7 
,,Blazers Gaming,GrantMonster,Mid-Season Tournament 2,1 ,12 ,1 ,– ,– ,1 ,– ,– ,– ,– ,5 ,4 ,80% ,120% ,1 ,– ,– ,4 ,4 ,100% ,– ,– ,-,– ,– ,,12.0 ,1.0 ,– ,– ,1.0 ,– ,– ,– ,– ,5.0 ,4.0 ,80% ,120% ,1.0 ,– ,– ,4.0 ,4.0 ,100% ,– ,– ,-,– ,– 
,,Blazers Gaming,GrantMonster,Mid-Season Tournament 1,4 ,19 ,7 ,3 ,2.3 ,3 ,– ,– ,– ,– ,13 ,7 ,54% ,69% ,6 ,3 ,50% ,7 ,4 ,57% ,1 ,1 ,100% ,2 ,3 ,,4.8 ,1.8 ,0.8 ,2.3 ,0.8 ,– ,– ,– ,– ,3.3 ,1.8 ,54% ,69% ,1.5 ,0.8 ,50% ,1.8 ,1.0 ,57% ,0.3 ,0.3 ,100% ,0.5 ,0.8 
,,Blazers Gaming,Jomar12PR,Regular Season,2 ,15 ,2 ,– ,– ,3 ,– ,5 ,2 ,3 ,12 ,6 ,50% ,58% ,6 ,4 ,67% ,6 ,2 ,33% ,1 ,1 ,100% ,1 ,3 ,,7.5 ,1.0 ,– ,– ,1.5 ,– ,2.5 ,1.0 ,1.5 ,6.0 ,3.0 ,50% ,58% ,3.0 ,2.0 ,67% ,3.0 ,1.0 ,33% ,0.5 ,0.5 ,100% ,0.5 ,1.5 
,,Blazers Gaming,Jomar12PR,Playoffs,1 ,6 ,1 ,– ,– ,1 ,2 ,3 ,– ,3 ,3 ,2 ,67% ,100% ,1 ,– ,– ,2 ,2 ,100% ,– ,– ,-,– ,3 ,,6.0 ,1.0 ,– ,– ,1.0 ,2.0 ,3.0 ,– ,3.0 ,3.0 ,2.0 ,67% ,100% ,1.0 ,– ,– ,2.0 ,2.0 ,100% ,– ,– ,-,– ,3.0 
,,Blazers Gaming,Lavish_Phenom,Tip Off,6 ,42 ,7 ,2 ,3.5 ,5 ,1 ,21 ,1 ,20 ,26 ,18 ,69% ,77% ,19 ,14 ,74% ,7 ,4 ,57% ,2 ,2 ,100% ,2 ,3 ,,7.0 ,1.2 ,0.3 ,3.5 ,0.8 ,0.2 ,3.5 ,0.2 ,3.3 ,4.3 ,3.0 ,69% ,77% ,3.2 ,2.3 ,74% ,1.2 ,0.7 ,57% ,0.3 ,0.3 ,100% ,0.3 ,0.5 
,,Blazers Gaming,Lavish_Phenom,Regular Season,13 ,121 ,16 ,8 ,2.0 ,6 ,4 ,9 ,– ,9 ,79 ,49 ,62% ,74% ,44 ,30 ,68% ,35 ,19 ,54% ,4 ,4 ,100% ,7 ,16 ,,9.3 ,1.2 ,0.6 ,2.0 ,0.5 ,0.3 ,0.7 ,– ,0.7 ,6.1 ,3.8 ,62% ,74% ,3.4 ,2.3 ,68% ,2.7 ,1.5 ,54% ,0.3 ,0.3 ,100% ,0.5 ,1.2 
,,Blazers Gaming,Lavish_Phenom,Playoffs,1 ,8 ,1 ,– ,– ,1 ,– ,1 ,1 ,– ,5 ,4 ,80% ,80% ,4 ,4 ,100% ,1 ,– ,– ,– ,– ,-,– ,2 ,,8.0 ,1.0 ,– ,– ,1.0 ,– ,1.0 ,1.0 ,– ,5.0 ,4.0 ,80% ,80% ,4.0 ,4.0 ,100% ,1.0 ,– ,– ,– ,– ,-,– ,2.0 
,,Blazers Gaming,Lavish_Phenom,Mid-Season Tournament 2,1 ,6 ,1 ,1 ,1.0 ,– ,– ,– ,– ,– ,5 ,2 ,40% ,60% ,1 ,– ,– ,4 ,2 ,50% ,– ,– ,-,– ,– ,,6.0 ,1.0 ,1.0 ,1.0 ,– ,– ,– ,– ,– ,5.0 ,2.0 ,40% ,60% ,1.0 ,– ,– ,4.0 ,2.0 ,50% ,– ,– ,-,– ,– 
,,Blazers Gaming,Lavish_Phenom,Mid-Season Tournament 1,4 ,36 ,6 ,2 ,3.0 ,2 ,3 ,6 ,1 ,5 ,25 ,13 ,52% ,72% ,7 ,3 ,43% ,18 ,10 ,56% ,– ,– ,-,– ,3 ,,9.0 ,1.5 ,0.5 ,3.0 ,0.5 ,0.8 ,1.5 ,0.3 ,1.3 ,6.3 ,3.3 ,52% ,72% ,1.8 ,0.8 ,43% ,4.5 ,2.5 ,56% ,– ,– ,-,– ,0.8 
,,Blazers Gaming,MamaImDatMan,Tip Off,6 ,102 ,68 ,26 ,2.6 ,11 ,1 ,6 ,– ,6 ,84 ,41 ,49% ,54% ,58 ,32 ,55% ,26 ,9 ,35% ,12 ,11 ,92% ,24 ,14 ,,17.0 ,11.3 ,4.3 ,2.6 ,1.8 ,0.2 ,1.0 ,– ,1.0 ,14.0 ,6.8 ,49% ,54% ,9.7 ,5.3 ,55% ,4.3 ,1.5 ,35% ,2.0 ,1.8 ,92% ,4.0 ,2.3 
,,Blazers Gaming,MamaImDatMan,Regular Season,14 ,270 ,194 ,57 ,3.4 ,30 ,1 ,20 ,4 ,16 ,207 ,108 ,52% ,58% ,142 ,83 ,58% ,65 ,25 ,39% ,31 ,29 ,94% ,61 ,30 ,,19.3 ,13.9 ,4.1 ,3.4 ,2.1 ,0.1 ,1.4 ,0.3 ,1.1 ,14.8 ,7.7 ,52% ,58% ,10.1 ,5.9 ,58% ,4.6 ,1.8 ,39% ,2.2 ,2.1 ,94% ,4.4 ,2.1 
,,Blazers Gaming,MamaImDatMan,Playoffs,1 ,20 ,16 ,2 ,8.0 ,4 ,– ,1 ,– ,1 ,21 ,9 ,43% ,48% ,11 ,7 ,64% ,10 ,2 ,20% ,– ,– ,-,1 ,5 ,,20.0 ,16.0 ,2.0 ,8.0 ,4.0 ,– ,1.0 ,– ,1.0 ,21.0 ,9.0 ,43% ,48% ,11.0 ,7.0 ,64% ,10.0 ,2.0 ,20% ,– ,– ,-,1.0 ,5.0 
,,Blazers Gaming,MamaImDatMan,Mid-Season Tournament 2,1 ,13 ,13 ,5 ,2.6 ,– ,– ,1 ,– ,1 ,15 ,5 ,33% ,40% ,11 ,3 ,27% ,4 ,2 ,50% ,2 ,1 ,50% ,7 ,4 ,,13.0 ,13.0 ,5.0 ,2.6 ,– ,– ,1.0 ,– ,1.0 ,15.0 ,5.0 ,33% ,40% ,11.0 ,3.0 ,27% ,4.0 ,2.0 ,50% ,2.0 ,1.0 ,50% ,7.0 ,4.0 
,,Blazers Gaming,MamaImDatMan,Mid-Season Tournament 1,4 ,113 ,53 ,9 ,5.9 ,10 ,– ,3 ,– ,3 ,73 ,41 ,56% ,64% ,52 ,30 ,58% ,21 ,11 ,52% ,20 ,20 ,100% ,22 ,10 ,,28.3 ,13.3 ,2.3 ,5.9 ,2.5 ,– ,0.8 ,– ,0.8 ,18.3 ,10.3 ,56% ,64% ,13.0 ,7.5 ,58% ,5.3 ,2.8 ,52% ,5.0 ,5.0 ,100% ,5.5 ,2.5 
,,Blazers Gaming,OneWildWalnut,Tip Off,6 ,112 ,9 ,9 ,1.0 ,7 ,8 ,72 ,17 ,55 ,74 ,50 ,68% ,68% ,74 ,50 ,68% ,– ,– ,-,13 ,12 ,92% ,8 ,10 ,,18.7 ,1.5 ,1.5 ,1.0 ,1.2 ,1.3 ,12.0 ,2.8 ,9.2 ,12.3 ,8.3 ,68% ,68% ,12.3 ,8.3 ,68% ,– ,– ,-,2.2 ,2.0 ,92% ,1.3 ,1.7 
,,Blazers Gaming,OneWildWalnut,Regular Season,14 ,312 ,31 ,27 ,1.2 ,35 ,36 ,200 ,74 ,126 ,218 ,144 ,66% ,66% ,217 ,143 ,66% ,1 ,1 ,100% ,32 ,23 ,72% ,21 ,20 ,,22.3 ,2.2 ,1.9 ,1.2 ,2.5 ,2.6 ,14.3 ,5.3 ,9.0 ,15.6 ,10.3 ,66% ,66% ,15.5 ,10.2 ,66% ,0.1 ,0.1 ,100% ,2.3 ,1.6 ,72% ,1.5 ,1.4 
,,Blazers Gaming,OneWildWalnut,Playoffs,1 ,26 ,– ,3 ,– ,1 ,1 ,10 ,7 ,3 ,16 ,12 ,75% ,75% ,16 ,12 ,75% ,– ,– ,-,4 ,2 ,50% ,2 ,5 ,,26.0 ,– ,3.0 ,– ,1.0 ,1.0 ,10.0 ,7.0 ,3.0 ,16.0 ,12.0 ,75% ,75% ,16.0 ,12.0 ,75% ,– ,– ,-,4.0 ,2.0 ,50% ,2.0 ,5.0 
,,Blazers Gaming,OneWildWalnut,Mid-Season Tournament 2,1 ,24 ,4 ,2 ,2.0 ,– ,3 ,18 ,9 ,9 ,15 ,12 ,80% ,80% ,15 ,12 ,80% ,– ,– ,-,1 ,– ,– ,1 ,4 ,,24.0 ,4.0 ,2.0 ,2.0 ,– ,3.0 ,18.0 ,9.0 ,9.0 ,15.0 ,12.0 ,80% ,80% ,15.0 ,12.0 ,80% ,– ,– ,-,1.0 ,– ,– ,1.0 ,4.0 
,,Blazers Gaming,OneWildWalnut,Mid-Season Tournament 1,4 ,80 ,10 ,10 ,1.0 ,9 ,10 ,54 ,18 ,36 ,57 ,37 ,65% ,65% ,56 ,37 ,66% ,1 ,– ,– ,7 ,6 ,86% ,4 ,14 ,,20.0 ,2.5 ,2.5 ,1.0 ,2.3 ,2.5 ,13.5 ,4.5 ,9.0 ,14.3 ,9.3 ,65% ,65% ,14.0 ,9.3 ,66% ,0.3 ,– ,– ,1.8 ,1.5 ,86% ,1.0 ,3.5 