,,Cavs Legion GC,Godddof2k,Tip Off,5 ,52 ,12 ,4 ,3.0 ,5 ,– ,5 ,– ,5 ,38 ,20 ,53% ,62% ,19 ,13 ,68% ,19 ,7 ,37% ,5 ,5 ,100% ,4 ,8 ,,10.4 ,2.4 ,0.8 ,3.0 ,1.0 ,– ,1.0 ,– ,1.0 ,7.6 ,4.0 ,53% ,62% ,3.8 ,2.6 ,68% ,3.8 ,1.4 ,37% ,1.0 ,1.0 ,100% ,0.8 ,1.6 
,,Cavs Legion GC,Godddof2k,Regular Season,14 ,220 ,23 ,20 ,1.2 ,33 ,16 ,81 ,19 ,62 ,164 ,99 ,60% ,62% ,159 ,95 ,60% ,5 ,4 ,80% ,20 ,18 ,90% ,20 ,38 ,,15.7 ,1.6 ,1.4 ,1.2 ,2.4 ,1.1 ,5.8 ,1.4 ,4.4 ,11.7 ,7.1 ,60% ,62% ,11.4 ,6.8 ,60% ,0.4 ,0.3 ,80% ,1.4 ,1.3 ,90% ,1.4 ,2.7 
,,Cavs Legion GC,Godddof2k,Playoffs,4 ,44 ,2 ,– ,– ,5 ,– ,1 ,– ,1 ,26 ,17 ,65% ,79% ,17 ,10 ,59% ,9 ,7 ,78% ,3 ,3 ,100% ,3 ,7 ,,11.0 ,0.5 ,– ,– ,1.3 ,– ,0.3 ,– ,0.3 ,6.5 ,4.3 ,65% ,79% ,4.3 ,2.5 ,59% ,2.3 ,1.8 ,78% ,0.8 ,0.8 ,100% ,0.8 ,1.8 
,,Cavs Legion GC,Godddof2k,Mid-Season Tournament 2,3 ,18 ,3 ,2 ,1.5 ,7 ,3 ,25 ,6 ,19 ,16 ,8 ,50% ,53% ,11 ,7 ,64% ,5 ,1 ,20% ,2 ,1 ,50% ,– ,8 ,,6.0 ,1.0 ,0.7 ,1.5 ,2.3 ,1.0 ,8.3 ,2.0 ,6.3 ,5.3 ,2.7 ,50% ,53% ,3.7 ,2.3 ,64% ,1.7 ,0.3 ,20% ,0.7 ,0.3 ,50% ,– ,2.7 
,,Cavs Legion GC,Godddof2k,Mid-Season Tournament 1,1 ,18 ,5 ,1 ,5.0 ,– ,1 ,6 ,3 ,3 ,13 ,7 ,54% ,54% ,13 ,7 ,54% ,– ,– ,-,6 ,4 ,67% ,4 ,1 ,,18.0 ,5.0 ,1.0 ,5.0 ,– ,1.0 ,6.0 ,3.0 ,3.0 ,13.0 ,7.0 ,54% ,54% ,13.0 ,7.0 ,54% ,– ,– ,-,6.0 ,4.0 ,67% ,4.0 ,1.0 
,,Cavs Legion GC,Hood,Tip Off,5 ,175 ,38 ,12 ,3.2 ,5 ,4 ,21 ,5 ,16 ,112 ,79 ,71% ,71% ,109 ,78 ,72% ,3 ,1 ,33% ,17 ,16 ,94% ,25 ,9 ,,35.0 ,7.6 ,2.4 ,3.2 ,1.0 ,0.8 ,4.2 ,1.0 ,3.2 ,22.4 ,15.8 ,71% ,71% ,21.8 ,15.6 ,72% ,0.6 ,0.2 ,33% ,3.4 ,3.2 ,94% ,5.0 ,1.8 
,,Cavs Legion GC,Hood,Regular Season,8 ,182 ,43 ,20 ,2.2 ,13 ,8 ,52 ,16 ,36 ,135 ,79 ,59% ,60% ,122 ,75 ,62% ,13 ,4 ,31% ,26 ,20 ,77% ,24 ,8 ,,22.8 ,5.4 ,2.5 ,2.2 ,1.6 ,1.0 ,6.5 ,2.0 ,4.5 ,16.9 ,9.9 ,59% ,60% ,15.3 ,9.4 ,62% ,1.6 ,0.5 ,31% ,3.3 ,2.5 ,77% ,3.0 ,1.0 
,,Cavs Legion GC,Hood,Playoffs,4 ,113 ,58 ,7 ,8.3 ,4 ,– ,1 ,– ,1 ,96 ,45 ,47% ,52% ,72 ,36 ,50% ,24 ,9 ,38% ,15 ,14 ,93% ,18 ,6 ,,28.3 ,14.5 ,1.8 ,8.3 ,1.0 ,– ,0.3 ,– ,0.3 ,24.0 ,11.3 ,47% ,52% ,18.0 ,9.0 ,50% ,6.0 ,2.3 ,38% ,3.8 ,3.5 ,93% ,4.5 ,1.5 
,,Cavs Legion GC,Hood,Mid-Season Tournament 2,3 ,132 ,10 ,13 ,0.8 ,4 ,1 ,20 ,8 ,12 ,83 ,62 ,75% ,75% ,83 ,62 ,75% ,– ,– ,-,10 ,8 ,80% ,13 ,5 ,,44.0 ,3.3 ,4.3 ,0.8 ,1.3 ,0.3 ,6.7 ,2.7 ,4.0 ,27.7 ,20.7 ,75% ,75% ,27.7 ,20.7 ,75% ,– ,– ,-,3.3 ,2.7 ,80% ,4.3 ,1.7 
,,Cavs Legion GC,Hood,Mid-Season Tournament 1,1 ,7 ,9 ,8 ,1.1 ,– ,– ,– ,– ,– ,8 ,3 ,38% ,44% ,4 ,2 ,50% ,4 ,1 ,25% ,– ,– ,-,2 ,– ,,7.0 ,9.0 ,8.0 ,1.1 ,– ,– ,– ,– ,– ,8.0 ,3.0 ,38% ,44% ,4.0 ,2.0 ,50% ,4.0 ,1.0 ,25% ,– ,– ,-,2.0 ,– 
,,Cavs Legion GC,Savage,Regular Season,7 ,104 ,55 ,20 ,2.8 ,13 ,– ,9 ,3 ,6 ,76 ,43 ,57% ,63% ,52 ,33 ,64% ,24 ,10 ,42% ,11 ,8 ,73% ,21 ,11 ,,14.9 ,7.9 ,2.9 ,2.8 ,1.9 ,– ,1.3 ,0.4 ,0.9 ,10.9 ,6.1 ,57% ,63% ,7.4 ,4.7 ,64% ,3.4 ,1.4 ,42% ,1.6 ,1.1 ,73% ,3.0 ,1.6 
,,Cavs Legion GC,Savage,Playoffs,4 ,38 ,4 ,– ,– ,8 ,4 ,8 ,– ,8 ,24 ,15 ,63% ,79% ,8 ,7 ,88% ,16 ,8 ,50% ,– ,– ,-,– ,4 ,,9.5 ,1.0 ,– ,– ,2.0 ,1.0 ,2.0 ,– ,2.0 ,6.0 ,3.8 ,63% ,79% ,2.0 ,1.8 ,88% ,4.0 ,2.0 ,50% ,– ,– ,-,– ,1.0 
,,Cavs Legion GC,SickX973,Tip Off,5 ,62 ,15 ,3 ,5.0 ,11 ,– ,25 ,3 ,22 ,46 ,26 ,57% ,64% ,32 ,19 ,59% ,14 ,7 ,50% ,3 ,3 ,100% ,4 ,14 ,,12.4 ,3.0 ,0.6 ,5.0 ,2.2 ,– ,5.0 ,0.6 ,4.4 ,9.2 ,5.2 ,57% ,64% ,6.4 ,3.8 ,59% ,2.8 ,1.4 ,50% ,0.6 ,0.6 ,100% ,0.8 ,2.8 
,,Cavs Legion GC,SickX973,Regular Season,14 ,224 ,108 ,37 ,2.9 ,18 ,6 ,75 ,34 ,41 ,153 ,97 ,63% ,64% ,144 ,94 ,65% ,9 ,3 ,33% ,30 ,27 ,90% ,40 ,24 ,,16.0 ,7.7 ,2.6 ,2.9 ,1.3 ,0.4 ,5.4 ,2.4 ,2.9 ,10.9 ,6.9 ,63% ,64% ,10.3 ,6.7 ,65% ,0.6 ,0.2 ,33% ,2.1 ,1.9 ,90% ,2.9 ,1.7 
,,Cavs Legion GC,SickX973,Playoffs,4 ,86 ,13 ,13 ,1.0 ,6 ,12 ,74 ,39 ,35 ,56 ,40 ,71% ,71% ,56 ,40 ,71% ,– ,– ,-,9 ,6 ,67% ,8 ,11 ,,21.5 ,3.3 ,3.3 ,1.0 ,1.5 ,3.0 ,18.5 ,9.8 ,8.8 ,14.0 ,10.0 ,71% ,71% ,14.0 ,10.0 ,71% ,– ,– ,-,2.3 ,1.5 ,67% ,2.0 ,2.8 
,,Cavs Legion GC,SickX973,Mid-Season Tournament 2,3 ,39 ,24 ,6 ,4.0 ,2 ,– ,– ,– ,– ,24 ,17 ,71% ,79% ,17 ,13 ,77% ,7 ,4 ,57% ,1 ,1 ,100% ,5 ,6 ,,13.0 ,8.0 ,2.0 ,4.0 ,0.7 ,– ,– ,– ,– ,8.0 ,5.7 ,71% ,79% ,5.7 ,4.3 ,77% ,2.3 ,1.3 ,57% ,0.3 ,0.3 ,100% ,1.7 ,2.0 
,,Cavs Legion GC,SickX973,Mid-Season Tournament 1,1 ,32 ,1 ,1 ,1.0 ,3 ,– ,7 ,4 ,3 ,17 ,13 ,77% ,77% ,17 ,13 ,77% ,– ,– ,-,6 ,6 ,100% ,3 ,3 ,,32.0 ,1.0 ,1.0 ,1.0 ,3.0 ,– ,7.0 ,4.0 ,3.0 ,17.0 ,13.0 ,77% ,77% ,17.0 ,13.0 ,77% ,– ,– ,-,6.0 ,6.0 ,100% ,3.0 ,3.0 
,,Cavs Legion GC,Toxsik,Tip Off,5 ,22 ,6 ,– ,– ,1 ,– ,4 ,1 ,3 ,21 ,9 ,43% ,52% ,7 ,5 ,71% ,14 ,4 ,29% ,– ,– ,-,3 ,1 ,,4.4 ,1.2 ,– ,– ,0.2 ,– ,0.8 ,0.2 ,0.6 ,4.2 ,1.8 ,43% ,52% ,1.4 ,1.0 ,71% ,2.8 ,0.8 ,29% ,– ,– ,-,0.6 ,0.2 
,,Cavs Legion GC,Toxsik,Regular Season,14 ,84 ,11 ,9 ,1.2 ,8 ,– ,8 ,– ,8 ,56 ,30 ,54% ,67% ,27 ,15 ,56% ,29 ,15 ,52% ,9 ,9 ,100% ,11 ,13 ,,6.0 ,0.8 ,0.6 ,1.2 ,0.6 ,– ,0.6 ,– ,0.6 ,4.0 ,2.1 ,54% ,67% ,1.9 ,1.1 ,56% ,2.1 ,1.1 ,52% ,0.6 ,0.6 ,100% ,0.8 ,0.9 
,,Cavs Legion GC,Toxsik,Playoffs,4 ,29 ,2 ,1 ,2.0 ,– ,1 ,2 ,– ,2 ,20 ,11 ,55% ,73% ,7 ,4 ,57% ,13 ,7 ,54% ,– ,– ,-,– ,9 ,,7.3 ,0.5 ,0.3 ,2.0 ,– ,0.3 ,0.5 ,– ,0.5 ,5.0 ,2.8 ,55% ,73% ,1.8 ,1.0 ,57% ,3.3 ,1.8 ,54% ,– ,– ,-,– ,2.3 
,,Cavs Legion GC,Toxsik,Mid-Season Tournament 2,3 ,10 ,1 ,– ,– ,– ,– ,1 ,– ,1 ,7 ,4 ,57% ,64% ,3 ,3 ,100% ,4 ,1 ,25% ,1 ,1 ,100% ,1 ,1 ,,3.3 ,0.3 ,– ,– ,– ,– ,0.3 ,– ,0.3 ,2.3 ,1.3 ,57% ,64% ,1.0 ,1.0 ,100% ,1.3 ,0.3 ,25% ,0.3 ,0.3 ,100% ,0.3 ,0.3 
,,Cavs Legion GC,Toxsik,Mid-Season Tournament 1,1 ,3 ,2 ,3 ,0.7 ,– ,– ,1 ,1 ,– ,2 ,1 ,50% ,75% ,– ,– ,-,2 ,1 ,50% ,– ,– ,-,– ,3 ,,3.0 ,2.0 ,3.0 ,0.7 ,– ,– ,1.0 ,1.0 ,– ,2.0 ,1.0 ,50% ,75% ,– ,– ,-,2.0 ,1.0 ,50% ,– ,– ,-,– ,3.0 
,,Cavs Legion GC,Turnupdefense,Tip Off,5 ,38 ,3 ,2 ,1.5 ,2 ,2 ,28 ,1 ,27 ,22 ,13 ,59% ,82% ,5 ,3 ,60% ,17 ,10 ,59% ,2 ,2 ,100% ,1 ,6 ,,7.6 ,0.6 ,0.4 ,1.5 ,0.4 ,0.4 ,5.6 ,0.2 ,5.4 ,4.4 ,2.6 ,59% ,82% ,1.0 ,0.6 ,60% ,3.4 ,2.0 ,59% ,0.4 ,0.4 ,100% ,0.2 ,1.2 
,,Cavs Legion GC,Turnupdefense,Regular Season,13 ,81 ,5 ,4 ,1.3 ,9 ,3 ,27 ,5 ,22 ,54 ,31 ,57% ,72% ,21 ,15 ,71% ,33 ,16 ,49% ,3 ,3 ,100% ,7 ,13 ,,6.2 ,0.4 ,0.3 ,1.3 ,0.7 ,0.2 ,2.1 ,0.4 ,1.7 ,4.2 ,2.4 ,57% ,72% ,1.6 ,1.2 ,71% ,2.5 ,1.2 ,49% ,0.2 ,0.2 ,100% ,0.5 ,1.0 
,,Cavs Legion GC,Turnupdefense,Mid-Season Tournament 2,3 ,11 ,5 ,3 ,1.7 ,5 ,– ,8 ,– ,8 ,11 ,5 ,45% ,50% ,4 ,4 ,100% ,7 ,1 ,14% ,– ,– ,-,1 ,8 ,,3.7 ,1.7 ,1.0 ,1.7 ,1.7 ,– ,2.7 ,– ,2.7 ,3.7 ,1.7 ,45% ,50% ,1.3 ,1.3 ,100% ,2.3 ,0.3 ,14% ,– ,– ,-,0.3 ,2.7 
,,Cavs Legion GC,Turnupdefense,Mid-Season Tournament 1,1 ,3 ,1 ,– ,– ,– ,– ,– ,– ,– ,5 ,1 ,20% ,30% ,1 ,– ,– ,4 ,1 ,25% ,– ,– ,-,– ,– ,,3.0 ,1.0 ,– ,– ,– ,– ,– ,– ,– ,5.0 ,1.0 ,20% ,30% ,1.0 ,– ,– ,4.0 ,1.0 ,25% ,– ,– ,-,– ,– 