,,Raptors Uprising GC,AllHailTrey,Tip Off,3 ,30 ,4 ,3 ,1.3 ,3 ,1 ,15 ,– ,15 ,19 ,12 ,63% ,79% ,8 ,6 ,75% ,11 ,6 ,55% ,– ,– ,-,1 ,5 ,,10.0 ,1.3 ,1.0 ,1.3 ,1.0 ,0.3 ,5.0 ,– ,5.0 ,6.3 ,4.0 ,63% ,79% ,2.7 ,2.0 ,75% ,3.7 ,2.0 ,55% ,– ,– ,-,0.3 ,1.7 
,,Raptors Uprising GC,AllHailTrey,Regular Season,14 ,207 ,25 ,16 ,1.6 ,26 ,12 ,51 ,12 ,39 ,157 ,86 ,55% ,64% ,95 ,58 ,61% ,62 ,28 ,45% ,7 ,7 ,100% ,15 ,24 ,,14.8 ,1.8 ,1.1 ,1.6 ,1.9 ,0.9 ,3.6 ,0.9 ,2.8 ,11.2 ,6.1 ,55% ,64% ,6.8 ,4.1 ,61% ,4.4 ,2.0 ,45% ,0.5 ,0.5 ,100% ,1.1 ,1.7 
,,Raptors Uprising GC,AllHailTrey,Playoffs,1 ,3 ,– ,– ,– ,1 ,1 ,4 ,1 ,3 ,4 ,1 ,25% ,38% ,1 ,– ,– ,3 ,1 ,33% ,– ,– ,-,– ,– ,,3.0 ,– ,– ,– ,1.0 ,1.0 ,4.0 ,1.0 ,3.0 ,4.0 ,1.0 ,25% ,38% ,1.0 ,– ,– ,3.0 ,1.0 ,33% ,– ,– ,-,– ,– 
,,Raptors Uprising GC,AllHailTrey,Mid-Season Tournament 2,1 ,22 ,2 ,– ,– ,1 ,1 ,2 ,– ,2 ,16 ,9 ,56% ,69% ,8 ,5 ,63% ,8 ,4 ,50% ,– ,– ,-,1 ,2 ,,22.0 ,2.0 ,– ,– ,1.0 ,1.0 ,2.0 ,– ,2.0 ,16.0 ,9.0 ,56% ,69% ,8.0 ,5.0 ,63% ,8.0 ,4.0 ,50% ,– ,– ,-,1.0 ,2.0 
,,Raptors Uprising GC,AllHailTrey,Mid-Season Tournament 1,2 ,28 ,2 ,2 ,1.0 ,– ,– ,1 ,– ,1 ,15 ,10 ,67% ,93% ,2 ,2 ,100% ,13 ,8 ,62% ,– ,– ,-,1 ,1 ,,14.0 ,1.0 ,1.0 ,1.0 ,– ,– ,0.5 ,– ,0.5 ,7.5 ,5.0 ,67% ,93% ,1.0 ,1.0 ,100% ,6.5 ,4.0 ,62% ,– ,– ,-,0.5 ,0.5 
,,Raptors Uprising GC,Detoxys,Tip Off,3 ,26 ,1 ,2 ,0.5 ,– ,– ,7 ,– ,7 ,22 ,11 ,50% ,59% ,14 ,7 ,50% ,8 ,4 ,50% ,– ,– ,-,– ,3 ,,8.7 ,0.3 ,0.7 ,0.5 ,– ,– ,2.3 ,– ,2.3 ,7.3 ,3.7 ,50% ,59% ,4.7 ,2.3 ,50% ,2.7 ,1.3 ,50% ,– ,– ,-,– ,1.0 
,,Raptors Uprising GC,Detoxys,Regular Season,10 ,96 ,15 ,10 ,1.5 ,5 ,6 ,35 ,8 ,27 ,56 ,34 ,61% ,70% ,35 ,24 ,69% ,21 ,10 ,48% ,19 ,18 ,95% ,18 ,10 ,,9.6 ,1.5 ,1.0 ,1.5 ,0.5 ,0.6 ,3.5 ,0.8 ,2.7 ,5.6 ,3.4 ,61% ,70% ,3.5 ,2.4 ,69% ,2.1 ,1.0 ,48% ,1.9 ,1.8 ,95% ,1.8 ,1.0 
,,Raptors Uprising GC,Detoxys,Playoffs,1 ,2 ,– ,– ,– ,– ,– ,– ,– ,– ,1 ,1 ,100% ,100% ,1 ,1 ,100% ,– ,– ,-,– ,– ,-,– ,– ,,2.0 ,– ,– ,– ,– ,– ,– ,– ,– ,1.0 ,1.0 ,100% ,100% ,1.0 ,1.0 ,100% ,– ,– ,-,– ,– ,-,– ,– 
,,Raptors Uprising GC,Detoxys,Mid-Season Tournament 2,1 ,6 ,2 ,1 ,2.0 ,2 ,– ,5 ,2 ,3 ,7 ,3 ,43% ,43% ,5 ,3 ,60% ,2 ,– ,– ,– ,– ,-,– ,1 ,,6.0 ,2.0 ,1.0 ,2.0 ,2.0 ,– ,5.0 ,2.0 ,3.0 ,7.0 ,3.0 ,43% ,43% ,5.0 ,3.0 ,60% ,2.0 ,– ,– ,– ,– ,-,– ,1.0 
,,Raptors Uprising GC,Detoxys,Mid-Season Tournament 1,2 ,22 ,5 ,2 ,2.5 ,2 ,1 ,8 ,– ,8 ,11 ,8 ,73% ,91% ,6 ,4 ,67% ,5 ,4 ,80% ,2 ,2 ,100% ,1 ,4 ,,11.0 ,2.5 ,1.0 ,2.5 ,1.0 ,0.5 ,4.0 ,– ,4.0 ,5.5 ,4.0 ,73% ,91% ,3.0 ,2.0 ,67% ,2.5 ,2.0 ,80% ,1.0 ,1.0 ,100% ,0.5 ,2.0 
,,Raptors Uprising GC,Kenny,Tip Off,3 ,48 ,21 ,6 ,3.5 ,4 ,– ,2 ,– ,2 ,36 ,21 ,58% ,63% ,29 ,18 ,62% ,7 ,3 ,43% ,4 ,3 ,75% ,9 ,8 ,,16.0 ,7.0 ,2.0 ,3.5 ,1.3 ,– ,0.7 ,– ,0.7 ,12.0 ,7.0 ,58% ,63% ,9.7 ,6.0 ,62% ,2.3 ,1.0 ,43% ,1.3 ,1.0 ,75% ,3.0 ,2.7 
,,Raptors Uprising GC,Kenny,Regular Season,14 ,281 ,116 ,46 ,2.5 ,17 ,6 ,44 ,15 ,29 ,189 ,119 ,63% ,66% ,160 ,107 ,67% ,29 ,12 ,41% ,35 ,31 ,89% ,58 ,23 ,,20.1 ,8.3 ,3.3 ,2.5 ,1.2 ,0.4 ,3.1 ,1.1 ,2.1 ,13.5 ,8.5 ,63% ,66% ,11.4 ,7.6 ,67% ,2.1 ,0.9 ,41% ,2.5 ,2.2 ,89% ,4.1 ,1.6 
,,Raptors Uprising GC,Kenny,Playoffs,1 ,30 ,11 ,2 ,5.5 ,2 ,2 ,7 ,2 ,5 ,19 ,13 ,68% ,68% ,19 ,13 ,68% ,– ,– ,-,5 ,4 ,80% ,7 ,3 ,,30.0 ,11.0 ,2.0 ,5.5 ,2.0 ,2.0 ,7.0 ,2.0 ,5.0 ,19.0 ,13.0 ,68% ,68% ,19.0 ,13.0 ,68% ,– ,– ,-,5.0 ,4.0 ,80% ,7.0 ,3.0 
,,Raptors Uprising GC,Kenny,Mid-Season Tournament 2,1 ,16 ,11 ,1 ,11.0 ,– ,– ,3 ,1 ,2 ,13 ,7 ,54% ,58% ,10 ,6 ,60% ,3 ,1 ,33% ,1 ,1 ,100% ,4 ,3 ,,16.0 ,11.0 ,1.0 ,11.0 ,– ,– ,3.0 ,1.0 ,2.0 ,13.0 ,7.0 ,54% ,58% ,10.0 ,6.0 ,60% ,3.0 ,1.0 ,33% ,1.0 ,1.0 ,100% ,4.0 ,3.0 
,,Raptors Uprising GC,Kenny,Mid-Season Tournament 1,2 ,21 ,18 ,5 ,3.6 ,3 ,– ,1 ,– ,1 ,15 ,8 ,53% ,63% ,9 ,5 ,56% ,6 ,3 ,50% ,2 ,2 ,100% ,6 ,– ,,10.5 ,9.0 ,2.5 ,3.6 ,1.5 ,– ,0.5 ,– ,0.5 ,7.5 ,4.0 ,53% ,63% ,4.5 ,2.5 ,56% ,3.0 ,1.5 ,50% ,1.0 ,1.0 ,100% ,3.0 ,– 
,,Raptors Uprising GC,KingQuai614,Regular Season,11 ,158 ,30 ,16 ,1.9 ,8 ,5 ,88 ,36 ,52 ,93 ,66 ,71% ,75% ,81 ,59 ,73% ,12 ,7 ,58% ,30 ,19 ,63% ,20 ,24 ,,14.4 ,2.7 ,1.5 ,1.9 ,0.7 ,0.5 ,8.0 ,3.3 ,4.7 ,8.5 ,6.0 ,71% ,75% ,7.4 ,5.4 ,73% ,1.1 ,0.6 ,58% ,2.7 ,1.7 ,63% ,1.8 ,2.2 
,,Raptors Uprising GC,KingQuai614,Playoffs,1 ,22 ,– ,1 ,– ,1 ,2 ,10 ,4 ,6 ,18 ,10 ,56% ,56% ,18 ,10 ,56% ,– ,– ,-,2 ,2 ,100% ,1 ,3 ,,22.0 ,– ,1.0 ,– ,1.0 ,2.0 ,10.0 ,4.0 ,6.0 ,18.0 ,10.0 ,56% ,56% ,18.0 ,10.0 ,56% ,– ,– ,-,2.0 ,2.0 ,100% ,1.0 ,3.0 
,,Raptors Uprising GC,KingQuai614,Mid-Season Tournament 1,1 ,2 ,– ,– ,– ,– ,– ,– ,– ,– ,1 ,1 ,100% ,100% ,1 ,1 ,100% ,– ,– ,-,– ,– ,-,– ,– ,,2.0 ,– ,– ,– ,– ,– ,– ,– ,– ,1.0 ,1.0 ,100% ,100% ,1.0 ,1.0 ,100% ,– ,– ,-,– ,– ,-,– ,– 
,,Raptors Uprising GC,TsJosh,Tip Off,3 ,13 ,8 ,3 ,2.7 ,3 ,– ,– ,– ,– ,11 ,5 ,45% ,59% ,4 ,2 ,50% ,7 ,3 ,43% ,– ,– ,-,2 ,7 ,,4.3 ,2.7 ,1.0 ,2.7 ,1.0 ,– ,– ,– ,– ,3.7 ,1.7 ,45% ,59% ,1.3 ,0.7 ,50% ,2.3 ,1.0 ,43% ,– ,– ,-,0.7 ,2.3 
,,Raptors Uprising GC,TsJosh,Regular Season,13 ,143 ,46 ,14 ,3.3 ,6 ,2 ,5 ,– ,5 ,108 ,53 ,49% ,62% ,34 ,25 ,74% ,74 ,28 ,38% ,11 ,9 ,82% ,15 ,19 ,,11.0 ,3.5 ,1.1 ,3.3 ,0.5 ,0.2 ,0.4 ,– ,0.4 ,8.3 ,4.1 ,49% ,62% ,2.6 ,1.9 ,74% ,5.7 ,2.2 ,38% ,0.8 ,0.7 ,82% ,1.2 ,1.5 
,,Raptors Uprising GC,TsJosh,Playoffs,1 ,4 ,3 ,2 ,1.5 ,– ,– ,– ,– ,– ,4 ,1 ,25% ,25% ,1 ,1 ,100% ,3 ,– ,– ,2 ,2 ,100% ,3 ,1 ,,4.0 ,3.0 ,2.0 ,1.5 ,– ,– ,– ,– ,– ,4.0 ,1.0 ,25% ,25% ,1.0 ,1.0 ,100% ,3.0 ,– ,– ,2.0 ,2.0 ,100% ,3.0 ,1.0 
,,Raptors Uprising GC,TsJosh,Mid-Season Tournament 2,1 ,3 ,2 ,1 ,2.0 ,– ,– ,– ,– ,– ,4 ,1 ,25% ,38% ,1 ,– ,– ,3 ,1 ,33% ,– ,– ,-,– ,4 ,,3.0 ,2.0 ,1.0 ,2.0 ,– ,– ,– ,– ,– ,4.0 ,1.0 ,25% ,38% ,1.0 ,– ,– ,3.0 ,1.0 ,33% ,– ,– ,-,– ,4.0 
,,Raptors Uprising GC,TsJosh,Mid-Season Tournament 1,2 ,28 ,5 ,5 ,1.0 ,1 ,– ,3 ,2 ,1 ,23 ,12 ,52% ,54% ,17 ,11 ,65% ,6 ,1 ,17% ,3 ,3 ,100% ,8 ,3 ,,14.0 ,2.5 ,2.5 ,1.0 ,0.5 ,– ,1.5 ,1.0 ,0.5 ,11.5 ,6.0 ,52% ,54% ,8.5 ,5.5 ,65% ,3.0 ,0.5 ,17% ,1.5 ,1.5 ,100% ,4.0 ,1.5 
,,Raptors Uprising GC,Yusuf_Scarbz,Tip Off,3 ,66 ,10 ,6 ,1.7 ,2 ,3 ,24 ,8 ,16 ,41 ,28 ,68% ,68% ,41 ,28 ,68% ,– ,– ,-,11 ,10 ,91% ,9 ,8 ,,22.0 ,3.3 ,2.0 ,1.7 ,0.7 ,1.0 ,8.0 ,2.7 ,5.3 ,13.7 ,9.3 ,68% ,68% ,13.7 ,9.3 ,68% ,– ,– ,-,3.7 ,3.3 ,91% ,3.0 ,2.7 
,,Raptors Uprising GC,Yusuf_Scarbz,Regular Season,8 ,94 ,10 ,10 ,1.0 ,9 ,6 ,36 ,6 ,30 ,69 ,40 ,58% ,65% ,51 ,31 ,61% ,18 ,9 ,50% ,5 ,5 ,100% ,7 ,10 ,,11.8 ,1.3 ,1.3 ,1.0 ,1.1 ,0.8 ,4.5 ,0.8 ,3.8 ,8.6 ,5.0 ,58% ,65% ,6.4 ,3.9 ,61% ,2.3 ,1.1 ,50% ,0.6 ,0.6 ,100% ,0.9 ,1.3 
,,Raptors Uprising GC,Yusuf_Scarbz,Playoffs,1 ,6 ,– ,2 ,– ,– ,– ,– ,– ,– ,4 ,2 ,50% ,75% ,– ,– ,-,4 ,2 ,50% ,– ,– ,-,– ,– ,,6.0 ,– ,2.0 ,– ,– ,– ,– ,– ,– ,4.0 ,2.0 ,50% ,75% ,– ,– ,-,4.0 ,2.0 ,50% ,– ,– ,-,– ,– 
,,Raptors Uprising GC,Yusuf_Scarbz,Mid-Season Tournament 2,1 ,23 ,3 ,1 ,3.0 ,2 ,1 ,6 ,2 ,4 ,14 ,11 ,79% ,79% ,14 ,11 ,79% ,– ,– ,-,3 ,1 ,33% ,2 ,– ,,23.0 ,3.0 ,1.0 ,3.0 ,2.0 ,1.0 ,6.0 ,2.0 ,4.0 ,14.0 ,11.0 ,79% ,79% ,14.0 ,11.0 ,79% ,– ,– ,-,3.0 ,1.0 ,33% ,2.0 ,– 
,,Raptors Uprising GC,Yusuf_Scarbz,Mid-Season Tournament 1,2 ,33 ,3 ,1 ,3.0 ,3 ,2 ,16 ,6 ,10 ,24 ,14 ,58% ,58% ,24 ,14 ,58% ,– ,– ,-,5 ,5 ,100% ,3 ,2 ,,16.5 ,1.5 ,0.5 ,3.0 ,1.5 ,1.0 ,8.0 ,3.0 ,5.0 ,12.0 ,7.0 ,58% ,58% ,12.0 ,7.0 ,58% ,– ,– ,-,2.5 ,2.5 ,100% ,1.5 ,1.0 